company_name,company_domain,cleaned_url,created_at,domain_age,votes_count,reviews_count,email_valid,email_guess,linkedin_enriched,linkedin_url,linkedin_follower_count,industry,industry_freq,employees,hq_country,hq_country_freq,hq_state,hq_city,lead_score,lead_score_final,founded_recently,shap_explanation,lead_score_predicted
Startup Stash,startupstash.com,https://startupstash.com/,2015-02-25 09:28:06,10.36,9314,147,1,contact@startupstash.com,1,https://il.linkedin.com/company/startup-stash,3306.0,Software Development,0.5333333333333333,6.0,IL,0.0222222222222222,Tel Aviv,Tel Aviv,0.4795812493679776,0.8769257342314682,0,"[{""feature"": ""industry_freq"", ""value"": 0.5333333333333333, ""impact"": 0.010017646253254497}, {""feature"": ""hq_country_freq"", ""value"": 0.0222222222222222, ""impact"": -0.007663895648066601}, {""feature"": ""email_valid"", ""value"": 1.0, ""impact"": 0.014664342372836675}, {""feature"": ""linkedin_enriched"", ""value"": 1.0, ""impact"": 0.00027940281045933565}, {""feature"": ""votes_count"", ""value"": 9314.0, ""impact"": 0.0982402918098766}, {""feature"": ""reviews_count"", ""value"": 147.0, ""impact"": 0.16985637604068163}, {""feature"": ""linkedin_follower_count"", ""value"": 3306.0, ""impact"": -0.006344780500350882}, {""feature"": ""employees"", ""value"": 6.0, ""impact"": -3.6134684503647602e-06}, {""feature"": ""domain_age"", ""value"": 10.36, ""impact"": 0.030124735974823125}, {""feature"": ""founded_recently"", ""value"": 0.0, ""impact"": 0.005935255597756218}]",0.7622267757517059
Wordware,app.wordware.ai,https://app.wordware.ai/lp,2024-08-02 07:01:00,0.92,7838,0,0,,1,https://www.linkedin.com/company/wordware,8811.0,Software Development,0.5333333333333333,6.0,US,0.4444444444444444,,San Francisco,0.297334107798865,0.530655815232333,1,"[{""feature"": ""industry_freq"", ""value"": 0.5333333333333333, ""impact"": 0.014534111086282388}, {""feature"": ""hq_country_freq"", ""value"": 0.4444444444444444, ""impact"": 0.008177429668446874}, {""feature"": ""email_valid"", ""value"": 0.0, ""impact"": -0.05760309312851556}, {""feature"": ""linkedin_enriched"", ""value"": 1.0, ""impact"": 0.000527710886995515}, {""feature"": ""votes_count"", ""value"": 7838.0, ""impact"": 0.077185977675011}, {""feature"": ""reviews_count"", ""value"": 0.0, ""impact"": -0.06057749690193709}, {""feature"": ""linkedin_follower_count"", ""value"": 8811.0, ""impact"": 0.003181500910512922}, {""feature"": ""employees"", ""value"": 6.0, ""impact"": -0.0038564135914687845}, {""feature"": ""domain_age"", ""value"": 0.92, ""impact"": 0.015281636704619612}, {""feature"": ""founded_recently"", ""value"": 1.0, ""impact"": -0.004247532768446641}]",0.43972485526941424
Slack,slack.com,https://slack.com/intl/en-in/,2013-12-03 18:11:40,11.59,7332,336,1,contact@slack.com,1,https://www.linkedin.com/company/tiny-spec-inc,1631069.0,Software Development,0.5333333333333333,3000.0,US,0.4444444444444444,California,San Francisco,0.5443571132427955,0.9999999999999998,0,"[{""feature"": ""industry_freq"", ""value"": 0.5333333333333333, ""impact"": 0.014961274591607636}, {""feature"": ""hq_country_freq"", ""value"": 0.4444444444444444, ""impact"": 0.007661840908096767}, {""feature"": ""email_valid"", ""value"": 1.0, ""impact"": 0.014467448486619914}, {""feature"": ""linkedin_enriched"", ""value"": 1.0, ""impact"": 0.0002535317148107828}, {""feature"": ""votes_count"", ""value"": 7332.0, ""impact"": 0.08507535872437681}, {""feature"": ""reviews_count"", ""value"": 336.0, ""impact"": 0.17184759322667054}, {""feature"": ""linkedin_follower_count"", ""value"": 1631069.0, ""impact"": 0.11716395022263491}, {""feature"": ""employees"", ""value"": 3000.0, ""impact"": 0.006423850602853539}, {""feature"": ""domain_age"", ""value"": 11.59, ""impact"": 0.03982060378685775}, {""feature"": ""founded_recently"", ""value"": 0.0, ""impact"": 0.005187750838376815}]",0.9099842098078947
Startup Pitch Decks,cirrusinsight.com,https://www.cirrusinsight.com/blog/startup-pitch-decks,2016-09-06 07:04:41,8.83,5642,55,1,contact@cirrusinsight.com,1,https://in.linkedin.com/company/feeltheboot?trk=public_profile_experience-item_profile-section-card_image-click,459.0,Venture Capital and Private Equity Principals,0.0222222222222222,1.0,US,0.4444444444444444,ca,santa rosa,0.3436147190195101,0.6185890654365671,0,"[{""feature"": ""industry_freq"", ""value"": 0.0222222222222222, ""impact"": -0.01879646088127629}, {""feature"": ""hq_country_freq"", ""value"": 0.4444444444444444, ""impact"": 0.007324562043747088}, {""feature"": ""email_valid"", ""value"": 1.0, ""impact"": 0.017272095888943618}, {""feature"": ""linkedin_enriched"", ""value"": 1.0, ""impact"": 0.0003807166015677568}, {""feature"": ""votes_count"", ""value"": 5642.0, ""impact"": 0.055204751083995994}, {""feature"": ""reviews_count"", ""value"": 55.0, ""impact"": 0.058143935082383295}, {""feature"": ""linkedin_follower_count"", ""value"": 459.0, ""impact"": -0.011187217808522594}, {""feature"": ""employees"", ""value"": 1.0, ""impact"": 0.00019702237550518477}, {""feature"": ""domain_age"", ""value"": 8.83, ""impact"": 0.019262335339347677}, {""feature"": ""founded_recently"", ""value"": 0.0, ""impact"": 0.007689504945705671}]",0.5826122685399845
Pexels 2.0,pexels.com,https://www.pexels.com/,2015-05-23 14:32:59,10.12,4658,51,1,contact@pexels.com,1,https://au.linkedin.com/company/practiceandpixels,808.0,Advertising Services,0.0444444444444444,6.0,AU,0.0222222222222222,Queensland,Fortitude Valley,0.3080091595166421,0.5509384339982601,0,"[{""feature"": ""industry_freq"", ""value"": 0.0444444444444444, ""impact"": -0.00374168665803154}, {""feature"": ""hq_country_freq"", ""value"": 0.0222222222222222, ""impact"": -0.009365123194341626}, {""feature"": ""email_valid"", ""value"": 1.0, ""impact"": 0.01673705408716665}, {""feature"": ""linkedin_enriched"", ""value"": 1.0, ""impact"": 0.00037784856297851853}, {""feature"": ""votes_count"", ""value"": 4658.0, ""impact"": 0.053963219989317524}, {""feature"": ""reviews_count"", ""value"": 51.0, ""impact"": 0.05018002224161238}, {""feature"": ""linkedin_follower_count"", ""value"": 808.0, ""impact"": -0.009765092732575593}, {""feature"": ""employees"", ""value"": 6.0, ""impact"": -0.00012105807133290606}, {""feature"": ""domain_age"", ""value"": 10.12, ""impact"": 0.013439068399505535}, {""feature"": ""founded_recently"", ""value"": 0.0, ""impact"": 0.0072689281766037716}]",0.5660942006911422
Notion 2.0,notion.com,https://www.notion.com/product,2018-03-20 07:32:45,7.29,4497,484,1,contact@notion.com,1,https://www.linkedin.com/company/nellie-notions,75.0,Software Development,0.5333333333333333,1.0,US,0.4444444444444444,,Trenton,0.4516770098026188,0.8239076254653286,0,"[{""feature"": ""industry_freq"", ""value"": 0.5333333333333333, ""impact"": 0.010575302441753188}, {""feature"": ""hq_country_freq"", ""value"": 0.4444444444444444, ""impact"": 0.005964341681909799}, {""feature"": ""email_valid"", ""value"": 1.0, ""impact"": 0.016857907711770773}, {""feature"": ""linkedin_enriched"", ""value"": 1.0, ""impact"": 0.00029128529325438043}, {""feature"": ""votes_count"", ""value"": 4497.0, ""impact"": 0.06755165839664794}, {""feature"": ""reviews_count"", ""value"": 484.0, ""impact"": 0.18156332326082822}, {""feature"": ""linkedin_follower_count"", ""value"": 75.0, ""impact"": -0.013046610013083814}, {""feature"": ""employees"", ""value"": 1.0, ""impact"": -0.00022107566603355938}, {""feature"": ""domain_age"", ""value"": 7.29, ""impact"": 0.01677939107305267}, {""feature"": ""founded_recently"", ""value"": 0.0, ""impact"": 0.0063974789200680485}]",0.7398340227722682
remove.bg,remove.bg,https://www.remove.bg/,2018-12-17 09:14:00,6.55,4496,319,1,contact@remove.bg,1,https://www.linkedin.com/company/remove-background-com/,11.0,Software Development,0.5333333333333333,6.0,ES,0.0222222222222222,Catalonia,Sant Cugat del Vallès,0.3933074687559553,0.7130053853740616,0,"[{""feature"": ""industry_freq"", ""value"": 0.5333333333333333, ""impact"": 0.010210531541330663}, {""feature"": ""hq_country_freq"", ""value"": 0.0222222222222222, ""impact"": -0.006481496400131921}, {""feature"": ""email_valid"", ""value"": 1.0, ""impact"": 0.016702376683679177}, {""feature"": ""linkedin_enriched"", ""value"": 1.0, ""impact"": 0.0002968143261063637}, {""feature"": ""votes_count"", ""value"": 4496.0, ""impact"": 0.051562464324848005}, {""feature"": ""reviews_count"", ""value"": 319.0, ""impact"": 0.17686684362254002}, {""feature"": ""linkedin_follower_count"", ""value"": 11.0, ""impact"": -0.0163962324259046}, {""feature"": ""employees"", ""value"": 6.0, ""impact"": 0.0004924223442180341}, {""feature"": ""domain_age"", ""value"": 6.55, ""impact"": 0.0159068171546096}, {""feature"": ""founded_recently"", ""value"": 0.0, ""impact"": 0.007362582179404045}]",0.7036441345931465
Good Email Copy,goodemailcopy.com,https://www.goodemailcopy.com/,2016-04-05 13:21:34,9.25,4139,30,0,,1,https://www.linkedin.com/company/rather-too-good-copy,10.0,Advertising Services,0.0444444444444444,1.0,,0.2666666666666666,,,0.2007330918811895,0.3471136994600393,0,"[{""feature"": ""industry_freq"", ""value"": 0.0444444444444444, ""impact"": -0.0015984195000783076}, {""feature"": ""hq_country_freq"", ""value"": 0.2666666666666666, ""impact"": -0.006557681934565254}, {""feature"": ""email_valid"", ""value"": 0.0, ""impact"": -0.06595272329513036}, {""feature"": ""linkedin_enriched"", ""value"": 1.0, ""impact"": 0.0005370377647017853}, {""feature"": ""votes_count"", ""value"": 4139.0, ""impact"": 0.04064328091666943}, {""feature"": ""reviews_count"", ""value"": 30.0, ""impact"": -0.006099532084772363}, {""feature"": ""linkedin_follower_count"", ""value"": 10.0, ""impact"": -0.03612219886757278}, {""feature"": ""employees"", ""value"": 1.0, ""impact"": -0.003151325436435097}, {""feature"": ""domain_age"", ""value"": 9.25, ""impact"": 0.02612498181293227}, {""feature"": ""founded_recently"", ""value"": 0.0, ""impact"": 0.006486411386463766}]",0.4014308469734408
Coolors,coolors.co,https://coolors.co/,2014-10-23 12:34:30,10.7,3943,62,1,contact@coolors.co,1,https://www.linkedin.com/company/coolors/,797.0,Software Development,0.5333333333333333,1000.0,IT,0.0222222222222222,RM,Colleferro,0.3559841696953864,0.6420910454770891,0,"[{""feature"": ""industry_freq"", ""value"": 0.5333333333333333, ""impact"": 0.011237519573721025}, {""feature"": ""hq_country_freq"", ""value"": 0.0222222222222222, ""impact"": -0.011200319977393115}, {""feature"": ""email_valid"", ""value"": 1.0, ""impact"": 0.01703032425292703}, {""feature"": ""linkedin_enriched"", ""value"": 1.0, ""impact"": 0.0003718296696509545}, {""feature"": ""votes_count"", ""value"": 3943.0, ""impact"": 0.023932488153352298}, {""feature"": ""reviews_count"", ""value"": 62.0, ""impact"": 0.04846719064710972}, {""feature"": ""linkedin_follower_count"", ""value"": 797.0, ""impact"": -0.013669687385602931}, {""feature"": ""employees"", ""value"": 1000.0, ""impact"": -0.007250268995833014}, {""feature"": ""domain_age"", ""value"": 10.7, ""impact"": 0.021381135360894}, {""feature"": ""founded_recently"", ""value"": 0.0, ""impact"": 0.006726783320886574}]",0.5441480136906628
Hunter,hunter.io,https://hunter.io/,2015-04-28 13:06:04,10.19,3870,53,1,contact@hunter.io,1,https://www.linkedin.com/company/morganhunterco,45726.0,Staffing and Recruiting,0.0222222222222222,31.0,US,0.4444444444444444,Kansas,Overland Park,0.3109859994405753,0.5565944355709532,0,"[{""feature"": ""industry_freq"", ""value"": 0.0222222222222222, ""impact"": -0.017865239330341058}, {""feature"": ""hq_country_freq"", ""value"": 0.4444444444444444, ""impact"": 0.00891335150760521}, {""feature"": ""email_valid"", ""value"": 1.0, ""impact"": 0.014428854562963049}, {""feature"": ""linkedin_enriched"", ""value"": 1.0, ""impact"": 0.00033205426201069106}, {""feature"": ""votes_count"", ""value"": 3870.0, ""impact"": 0.026931123199675413}, {""feature"": ""reviews_count"", ""value"": 53.0, ""impact"": 0.04755697864586384}, {""feature"": ""linkedin_follower_count"", ""value"": 45726.0, ""impact"": 0.002691981544841029}, {""feature"": ""employees"", ""value"": 31.0, ""impact"": -0.006034253705406121}, {""feature"": ""domain_age"", ""value"": 10.19, ""impact"": 0.020425270327864887}, {""feature"": ""founded_recently"", ""value"": 0.0, ""impact"": 0.006668477805619154}]",0.5511696170931819
Unsplash 5.0,unsplash.com,https://unsplash.com/images,2017-01-31 11:49:28,8.42,3596,57,1,contact@unsplash.com,1,https://www.linkedin.com/company/amacon,3563.0,Real Estate,0.0222222222222222,350.0,CA,0.0666666666666666,BC,Vancouver,0.2821522246794128,0.5018102081475522,0,"[{""feature"": ""industry_freq"", ""value"": 0.0222222222222222, ""impact"": -0.017362947473722874}, {""feature"": ""hq_country_freq"", ""value"": 0.0666666666666666, ""impact"": -0.012257747803798541}, {""feature"": ""email_valid"", ""value"": 1.0, ""impact"": 0.015917803668546386}, {""feature"": ""linkedin_enriched"", ""value"": 1.0, ""impact"": 0.0003378044723326133}, {""feature"": ""votes_count"", ""value"": 3596.0, ""impact"": 0.026623320724320367}, {""feature"": ""reviews_count"", ""value"": 57.0, ""impact"": 0.051436850317986685}, {""feature"": ""linkedin_follower_count"", ""value"": 3563.0, ""impact"": -0.009890822188996633}, {""feature"": ""employees"", ""value"": 350.0, ""impact"": -0.007214436544018099}, {""feature"": ""domain_age"", ""value"": 8.42, ""impact"": 0.016770584157428756}, {""feature"": ""founded_recently"", ""value"": 0.0, ""impact"": 0.00683941368810742}]",0.5183208425255631
Hotjar,hotjar.com,https://www.hotjar.com/,2015-07-28 12:12:28,9.94,3478,45,1,contact@hotjar.com,1,https://mt.linkedin.com/company/hotjar,65229.0,IT Services and IT Consulting,0.0444444444444444,350.0,MT,0.0222222222222222,Malta, St Julian's ,0.2841369932705217,0.5055812722825398,0,"[{""feature"": ""industry_freq"", ""value"": 0.0444444444444444, ""impact"": -0.006312434032022591}, {""feature"": ""hq_country_freq"", ""value"": 0.0222222222222222, ""impact"": -0.01254802791227121}, {""feature"": ""email_valid"", ""value"": 1.0, ""impact"": 0.014815115534697219}, {""feature"": ""linkedin_enriched"", ""value"": 1.0, ""impact"": 0.00032538092992682424}, {""feature"": ""votes_count"", ""value"": 3478.0, ""impact"": 0.023983947646613362}, {""feature"": ""reviews_count"", ""value"": 45.0, ""impact"": 0.030341428728974683}, {""feature"": ""linkedin_follower_count"", ""value"": 65229.0, ""impact"": 0.020353644147366543}, {""feature"": ""employees"", ""value"": 350.0, ""impact"": -0.007581783491898224}, {""feature"": ""domain_age"", ""value"": 9.94, ""impact"": 0.011640978961885493}, {""feature"": ""founded_recently"", ""value"": 0.0, ""impact"": 0.005761470831849793}]",0.527900738189591
