company_name,tagline,domain,website,created_at,votes_count,reviews_count,thumbnail,tags
Startup Stash,A curated directory of 400 resources & tools for startups,www.producthunt.com/r/ff85b1307e38ee?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/ff85b1307e38ee?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2015-02-25T09:28:06Z,9314,147,https://ph-files.imgix.net/4bb79a58-baab-4434-af76-985ca67ed467.png?auto=format,"Web App, Tech, Startup Lessons"
Wordware,Your tool for building AI agents with natural language,www.producthunt.com/r/MATA3V5MZCDNLR?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/MATA3V5MZCDNLR?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2024-08-02T07:01:00Z,7838,0,https://ph-files.imgix.net/0938b95e-183a-4a09-8c81-741e5ebe6861.png?auto=format,"Software Engineering, Developer Tools, Artificial Intelligence"
Slack,"Be less busy. Real-time messaging, archiving & search.",www.producthunt.com/r/1ca95d917f?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/1ca95d917f?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2013-12-03T18:11:40Z,7332,336,https://ph-files.imgix.net/a1a7887b-04ad-4d69-b395-f2d58443f836.png?auto=format,"Android, iOS, Mac, Web App, Productivity, Messaging, API, Developer Tools, Tech"
Startup Pitch Decks,Real decks from real startups that raised over $400M,www.producthunt.com/r/34733a777291ef?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/34733a777291ef?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2016-09-06T07:04:41Z,5642,55,https://ph-files.imgix.net/e9f88f98-ede9-42af-9386-09f96eb55f2b.gif?auto=format,"Web App, Productivity, Marketing, Venture Capital, Tech"
Pexels 2.0,The best free stock photos in one place,www.producthunt.com/r/df0387d6b71634?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/df0387d6b71634?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2015-05-23T14:32:59Z,4658,51,https://ph-files.imgix.net/0b3a0d78-0517-4ce8-b985-77e7e4e85801.png?auto=format,"Web App, Design Tools, Photography, Tech"
Notion 2.0,"The all-in-one workspace - notes, tasks, wikis, & databases",www.producthunt.com/r/ef60ed2cbd2dd2?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/ef60ed2cbd2dd2?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2018-03-20T07:32:45Z,4497,484,https://ph-files.imgix.net/fe5c5a34-f8f2-4f54-950d-7c0156d225b9.png?auto=format,"Productivity, Notes, Spreadsheets, Notion"
remove.bg,Remove the background of any image 100% automatically,www.producthunt.com/r/8eaf923bc275d3?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/8eaf923bc275d3?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2018-12-17T09:14:00Z,4496,319,https://ph-files.imgix.net/d545b370-91c4-434f-b816-e0585dafbf98.png?auto=format,"Design Tools, Productivity, Photography"
Good Email Copy,Email copy from great companies.,www.producthunt.com/r/e61ceb5a3337fe?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/e61ceb5a3337fe?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2016-04-05T13:21:34Z,4139,30,https://ph-files.imgix.net/fc08f03f-53c1-407c-b8b0-34710db53b45.png?auto=format,"Web App, Email, Writing, Tech"
Coolors,Super fast color schemes generator for cool designers,www.producthunt.com/r/6e5fa87639?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/6e5fa87639?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2014-10-23T12:34:30Z,3943,62,https://ph-files.imgix.net/d381ef8b-c839-4dfb-a078-61c7893b8ade.gif?auto=format,"iOS, Web App, Design Tools, Tech"
Hunter,Find all the email addresses related to a domain,www.producthunt.com/r/2c85c013fb37bb?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/2c85c013fb37bb?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2015-04-28T13:06:04Z,3870,53,https://ph-files.imgix.net/78a04b3f-028a-4d02-a341-62beca8168c5.jpeg?auto=format,"Web App, Email, Hiring, Sales, Email Marketing, Marketing, Growth Hacking, Tech"
Unsplash 5.0,Free (do whatever you want) high-resolution photos.,www.producthunt.com/r/1d588b4e893379?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/1d588b4e893379?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2017-01-31T11:49:28Z,3596,57,https://ph-files.imgix.net/e2a4de5a-07cf-4e1b-8c06-8693f98e0483.gif?auto=format,"Web App, Design Tools, Photography, Developer Tools, Tech"
Hotjar,See how visitors are using your site and get visual feedback,www.producthunt.com/r/65080cfb09a071?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/65080cfb09a071?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2015-07-28T12:12:28Z,3478,45,https://ph-files.imgix.net/575ed41f-e326-4800-9729-e4e0a576f806.gif?auto=format,"Web App, Analytics, SaaS, Tech"
Coda,It's a new day for docs,www.producthunt.com/r/2666c9deb6868e?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/2666c9deb6868e?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2017-10-19T14:47:28Z,3427,124,https://ph-files.imgix.net/ff814fff-be51-4d1c-af87-3f4ea986b6c4.png?auto=format,"Productivity, Spreadsheets, Tech"
Amazon Go,Amazon stores with no lines or checkout 🛍,www.producthunt.com/r/0fd5f09ab3a0e7?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/0fd5f09ab3a0e7?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2016-12-05T14:56:37Z,3378,19,https://ph-files.imgix.net/ac1f12ca-68b4-49d5-a987-bae779806e44.png?auto=format,"Internet of Things, Artificial Intelligence, E-Commerce, Tech"
Station,One app to rule them all,www.producthunt.com/r/18a89076da2a94?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/18a89076da2a94?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2017-10-04T07:10:07Z,3375,421,https://ph-files.imgix.net/6fbe0264-dbb8-4c46-a398-d2766285b359.gif?auto=format,"Windows, Mac, Productivity, User Experience, SaaS, Tech"
Carrd,"Simple, responsive, one-page sites for pretty much anything.",www.producthunt.com/r/048e480e8e2bf1?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/048e480e8e2bf1?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2016-03-01T15:32:21Z,3353,68,https://ph-files.imgix.net/147f4212-c096-417a-8a66-98c6e280494b.png?auto=format,"Web App, Design Tools, Branding, Marketing, Tech"
AutoDraw,"Autocorrect for drawing, by Google",www.producthunt.com/r/ed720b642d7e8b?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/ed720b642d7e8b?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2017-04-11T17:30:04Z,3239,26,https://ph-files.imgix.net/e8e2a300-78c3-4dcf-b02f-f43531fed733.gif?auto=format,"Web App, Art, Artificial Intelligence, Tech"
f.lux,Adjusts your computer's display to adapt to the time of day,www.producthunt.com/r/75593a0c99?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/75593a0c99?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2014-01-07T00:54:05Z,3220,44,https://ph-files.imgix.net/a91fe551-36e2-4642-803f-d06cbaec529b.png?auto=format,"Linux, Windows, Mac, Health & Fitness, Menu Bar Apps, Tech"
Bubble,Build a fully functional web app without any code,www.producthunt.com/r/05cb9cf45f3c3a?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/05cb9cf45f3c3a?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2015-10-05T11:54:13Z,3154,65,https://ph-files.imgix.net/30d30fef-c5a9-4991-b1e5-944e256d8641.jpeg?auto=format,"Web App, Design Tools, Productivity, SaaS, Software Engineering, Developer Tools, Tech"
Prisma,AI that turns your photos into artwork in seconds,www.producthunt.com/r/0ae96fb61cc814?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/0ae96fb61cc814?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2016-06-17T14:09:43Z,3150,27,https://ph-files.imgix.net/fb2c638b-7bc0-4bd3-af59-df021b29c208.png?auto=format,"Android, iOS, Art, Photography, Artificial Intelligence, Tech"
Tabl 1.0,A multi-player web browser,www.producthunt.com/r/MNWGJSDFAJCVW4?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/MNWGJSDFAJCVW4?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2025-06-30T07:01:00Z,687,0,https://ph-files.imgix.net/759df732-136d-4111-a90f-19c77adfd77e.png?auto=format,"Productivity, Meetings, Remote Work"
Cursor Agents: Browsers & Mobile,Work with a powerful coding assistant anywhere,www.producthunt.com/r/ISDUMVKQW62ANH?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/ISDUMVKQW62ANH?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2025-07-01T07:01:00Z,628,0,https://ph-files.imgix.net/f8e0da90-cf95-4cc8-a5a0-6ae4ce21d361.gif?auto=format,"Software Engineering, Developer Tools, Artificial Intelligence"
Pokecut,Use AI to create photos with just a few click or a prompt,www.producthunt.com/r/72GR2MQ3VPOFUX?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/72GR2MQ3VPOFUX?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2025-06-30T07:01:00Z,484,0,https://ph-files.imgix.net/d4d350dc-4c75-4bea-b920-d9180c0d894f.jpeg?auto=format,"Web App, Design Tools, Artificial Intelligence"
Dynamic Mockups,Create realistic mockups at scale​,www.producthunt.com/r/GKQN2EOZDOAOED?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/GKQN2EOZDOAOED?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2025-07-01T07:01:00Z,444,0,https://ph-files.imgix.net/d9d62b62-6347-4201-a8a3-d07eb8d06c87.svg?auto=format,"Design Tools, API, E-Commerce"
Rybbit,The open source Google Analytics replacement,www.producthunt.com/r/2T7R5QZGNJ7RM6?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/2T7R5QZGNJ7RM6?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2025-07-01T07:01:00Z,420,0,https://ph-files.imgix.net/21b11a48-cf7a-4d14-a221-fb36997c56f5.png?auto=format,"Open Source, Analytics, Developer Tools, GitHub"
Jotform Presentation Agents,"Create AI presentations that talk, listen and answers",www.producthunt.com/r/GMGYFEZI2Z3SMY?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/GMGYFEZI2Z3SMY?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2025-06-30T07:01:00Z,409,0,https://ph-files.imgix.net/7cfd1973-d05b-4cfd-8819-ee81bd9f38b8.gif?auto=format,"Productivity, Marketing, Artificial Intelligence"
Picsart Ignite 2.0: AI for Creators,"Instantly generate branded assets, ads, videos, fonts + more",www.producthunt.com/r/AHW4UMM7XBGAAF?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/AHW4UMM7XBGAAF?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2025-06-30T07:01:00Z,371,0,https://ph-files.imgix.net/87985ea2-c4fd-4da5-abc4-b34a703313c7.jpeg?auto=format,"Design Tools, Marketing, Artificial Intelligence"
Handit.ai,The open-source engine that auto-improves your AI agents,www.producthunt.com/r/JJ2SVWH7QBL3KE?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/JJ2SVWH7QBL3KE?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2025-07-01T07:01:00Z,309,0,https://ph-files.imgix.net/3e37344b-3244-4045-8ac2-d6bd23150fa4.png?auto=format,"Open Source, Developer Tools, Artificial Intelligence, GitHub"
